id,lad,population,area_km2,pop_density_km2,lte_4G
TS268,E06000001,3048.0,0.702524047954498,86390.98216619213,1
TS269,E06000001,2853.0,0.9636646626802879,58950.90568484605,1
TS248,E06000001,3159.0000000000005,1.3046174270645252,48214.880449392986,1
TS255,E06000001,4724.0,2.4870581005329933,37821.48718455073,1
TS253,E06000001,2875.0,1.5563225370097251,36783.48609515491,1
TS247,E06000001,1071.0,0.8070210435115382,26425.259167218348,1
TS254,E06000001,2792.0,2.165405003329187,25673.845412977298,1
TS249,E06000001,3713.0,3.182384762066388,23232.016464551838,1
TS260,E06000001,6217.0,6.262161372138009,19768.38799094852,1
TS240,E06000001,3364.0,3.5156364935664945,19053.144756987414,1
TS251,E06000001,4146.0,4.6780719179576895,17647.250379515845,1
TS233,E06000001,6183.0,7.7862604016138315,15811.933032004055,1
TS252,E06000001,3808.0,14.513411893037047,5224.46787175235,1
TS273,E06000001,2268.0,35.774265007678515,1262.3708987947339,0
TS14,E06000002,4068.0,0.6681885924771904,95120.64154880818,1
TS13,E06000002,2046.9999999999998,0.5557670569574994,57546.3689348169,1
TS56,E06000002,3352.0,1.324375488935375,39544.469981981536,1
TS55,E06000002,3093.0,1.248668019609888,38701.32326769712,1
TS42,E06000002,4032.0,1.730305686980386,36407.475985364705,1
TS30,E06000002,3436.0,1.5899330226844026,33765.03536627898,1
TS39,E06000002,3348.0,1.6554300451411472,31598.575141616984,1
TS37,E06000002,3075.0,1.5610206389022658,30777.217841122896,1
TS11,E06000002,494.0,0.2729304568681197,28279.24628435279,1
TS12,E06000002,577.0,0.3194032220316188,28224.704501447242,1
TS58,E06000002,5345.0,3.9401628501818937,21194.658387227533,1
TS36,E06000002,1787.0,1.3843452825696543,20168.472666045793,1
TS78,E06000002,4381.0,3.485010484422273,19640.92999232767,1
TS54,E06000002,2513.0,2.1341175504305925,18397.848349022428,1
TS43,E06000002,3920.0,3.41750480677832,17921.312646807834,1
TS15,E06000002,1042.0,1.0215322243732283,15937.071877941553,1
TS57,E06000002,3118.0,3.093076464628839,15749.919481627325,1
TS38,E06000002,2098.0,2.32891833193707,14074.8607842572,1
TS179,E06000002,3450.0,5.140199166402779,10486.535506688453,1
TS89,E06000002,5879.0,9.357640076465591,9815.897319974629,1
TS70,E06000002,2949.0,13.742103435670515,3352.8524590763122,0
TS103,E06000003,2718.0,1.1988155537248932,35633.26655648837,1
TS101,E06000003,3234.0,1.5558428323390683,32668.774662831645,1
TS102,E06000003,4789.0,2.7079878022428625,27794.360518830432,1
TS117,E06000003,2163.0,1.707214019059351,19912.56031301307,1
TS69,E06000003,4657.0,3.829542792387119,19112.516101427424,1
TS60,E06000003,4853.0,5.514093754408539,13832.309522542815,1
TS79,E06000003,2912.0,3.393235351046454,13487.639233136353,1
TS116,E06000003,1783.0,2.1658476438675875,12938.442298694597,1
TS121,E06000003,2972.0,4.78011480599754,9771.675376374053,1
TS104,E06000003,4569.0,8.959183457909102,8015.143117407504,1
TS67,E06000003,2043.0000000000002,6.1570484093365065,5215.000466313566,1
TS122,E06000003,6045.0,22.63950478879635,4196.506840877388,1
TS68,E06000003,1201.0,4.698274123382345,4017.567741251237,1
TS147,E06000003,2654.0,11.050763210815694,3774.5675200019723,1
TS105,E06000003,2240.0,11.579364538147228,3040.337841927253,1
TS148,E06000003,2517.0,15.01933273351993,2633.8505592505157,1
TS66,E06000003,1611.0,10.492817808686075,2413.025778402145,1
TS146,E06000003,3516.0,25.94788388366258,2129.63646163487,1
TS118,E06000003,1705.0,14.291917983839362,1874.9617882559085,1
TS134,E06000003,3767.0,45.427106683509784,1303.2840987773623,1
TS123,E06000003,1678.0,33.769682377219254,780.9505476513258,0
TS178,E06000004,2884.0000000000005,1.3879769297098965,25739.468506227367,1
TS181,E06000004,1459.0,0.7027286171375249,25719.00830525443,1
TS202,E06000004,4590.0,2.290162598824032,24827.49677383239,1
TS232,E06000004,3608.0,1.8805995206542532,23766.037289831853,1
TS199,E06000004,2295.0,1.2623304892413818,22521.44149985065,1
TS190,E06000004,5502.0,3.0490422661928105,22353.406084333255,1
TS197,E06000004,3970.0,2.2104804987206186,22247.969749702817,1
TS198,E06000004,4757.0,3.183726659140972,18509.042123139792,1
TS184,E06000004,2619.0000000000005,1.8784557733980995,17271.14341311515,1
TS175,E06000004,4450.0,3.552531406736884,15517.03184189246,1
TS170,E06000004,6062.0,4.983093045164099,15069.661667699162,1
TS176,E06000004,2089.0,1.7808574918636382,14531.011241276532,1
TS185,E06000004,2942.0,2.8215626351055003,12916.342104923002,1
TS201,E06000004,5257.0,5.112372189281129,12738.024497257424,1
TS183,E06000004,3484.0,5.051380335261291,8543.87023298143,1
TS169,E06000004,1374.0000000000002,2.8063398244003834,6065.03120687885,1
TS177,E06000004,1070.0,2.4948318346638554,5312.86850321851,1
TS231,E06000004,2525.0000000000005,6.855998693987394,4562.230490562206,1
TS182,E06000004,1363.0,3.8174901281169333,4422.873310969253,1
TS80,E06000004,4133.0,12.555319223459255,4077.783952333302,1
TS159,E06000004,5354.0,37.10490153603107,1787.4489612216594,1
TS160,E06000004,3349.0,24.30953324049851,1706.5738781867085,1
TS225,E06000004,4208.0,37.39393553260791,1393.9947000743555,1
TS234,E06000004,717.0,7.249708997852925,1225.1383868361495,1
TS21,E06000004,665.0,19.63082243922571,419.63308019488244,0
DL36,E06000005,4293.0,1.022534905919889,80555.46420561067,1
DL37,E06000005,1981.0000000000002,0.7825195123303531,48573.74162717031,1
DL39,E06000005,4739.0,2.4245286747900727,37503.486382129224,1
